medallion,hack_license,vendor_id,pickup_datetime	rate_code,store_and_fwd_flag,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
2013000324,2013000324,CMT,2013-01-01 00:02:10	1,N,2013-01-01 00:12:56,1,651,2.30,-73.972809,40.793159,-73.945885,40.799301,CSH,10.5,0.5,0.5,0,0,11.5
2013000335,2013000335,CMT,2013-01-01 00:02:19	1,N,2013-01-01 00:20:30,1,1099,5.70,-74.002953,40.723484,-73.932411,40.683052,CRD,19,0.5,0.5,4,0,24
2013000338,2013000338,CMT,2013-01-01 00:02:20	1,N,2013-01-01 00:27:18,1,1499,6.30,-73.998779,40.751907,-73.963791,40.71788,CRD,23,0.5,0.5,4.8,0,28.8
2013000341,2013000341,CMT,2013-01-01 00:02:26	1,N,2013-01-01 00:14:31,1,731,2.00,-73.988487,40.752254,-74.005325,40.740208,CRD,10,0.5,0.5,2,0,13
2013000343,2013000343,CMT,2013-01-01 00:02:29	1,Y,2013-01-01 00:12:25,1,599,1.40,-74.003212,40.7342,-73.983284,40.726379,CSH,8.5,0.5,0.5,0,0,9.5
2013000347,2013000347,CMT,2013-01-01 00:02:33	1,N,2013-01-01 00:15:57,2,808,3.30,-73.983421,40.76622,-73.966751,40.804665,CSH,13,0.5,0.5,0,0,14
2013000354,2013000354,CMT,2013-01-01 00:02:38	1,N,2013-01-01 00:04:35,1,122,.50,-73.980209,40.687935,-73.983826,40.694939,CSH,4,0.5,0.5,0,0,5
2013000357,2013000357,CMT,2013-01-01 00:02:39	1,N,2013-01-01 00:08:57,1,379,2.30,-73.991676,40.75489,-73.990997,40.755695,CSH,5.5,0.5,0.5,0,0,6.5
2013000359,2013000359,CMT,2013-01-01 00:02:40	1,N,2013-01-01 00:07:51,1,311,1.10,-73.948708,40.71122,-73.966774,40.710503,CSH,6,0.5,0.5,0,0,7
2013000361,2013000361,CMT,2013-01-01 00:02:41	1,N,2013-01-01 00:06:45,4,245,.50,-73.989342,40.757679,-73.983727,40.765575,CSH,4.5,0.5,0.5,0,0,5.5
2013000374,2013000374,CMT,2013-01-01 00:02:53	1,N,2013-01-01 00:13:44,2,662,2.90,-73.958374,40.71735,-73.984329,40.727192,CRD,12,0.5,0.5,2.6,0,15.6
2013000379,2013000379,CMT,2013-01-01 00:02:57	1,N,2013-01-01 00:19:24,1,990,3.50,-73.982483,40.745861,-73.988724,40.711311,CSH,14,0.5,0.5,0,0,15
2013000382,2013000230,VTS,2013-01-01 00:03:00	1,N,2013-01-01 00:13:58,1,661,4.30,-73.991394,40.726967,-73.948311,40.773067,CSH,13.5,0.5,0.5,0,0,14.5
2013000389,2013000387,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:04:00,3,60,.00,-73.937637,40.758369,-73.937607,40.75835,CRD,2.5,0.5,0.5,0.25,0,3.75
2013000395,2013000393,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:25:00,6,1320,6.85,-73.970428,40.799122,-73.92025,40.759518,CSH,22.5,0.5,0.5,0,4.8,28.3
2013000403,2013000401,VTS,2013-01-01 00:03:00	1,,2013-01-01 00:08:00,1,300,1.44,-73.965485,40.80579,-73.95578,40.818932,CSH,7,0.5,0.5,0,0,8
